name, dam, sire, sex, year
Aberwyvern Corwen,Finnshavn's Bawyni Midnite Toker,Finnshavn's Bill Mckie, Female, 1985 
Aberwyvern Duke Of York,Finnshavn's Bawyni Midnite Toker,Finnshavn's Bill Mckie, Male, 1985 
Aberwyvern Ella Fitzgerald,Bluetrix Billie Holiday Blues,Aberwyvern Llanelidon, Female, 1999 
Aberwyvern Eowyn,Aberwyvern Nigella Doesnt Bite,Be Afarwy George Pet Me, Female, 2012 
Aberwyvern John's Tweed Jacket,Islay's Georgina At Aberwyvern,Markwell's Peer Gynt, Male, 
Aberwyvern License To Grill,Cheysuli's Aberwyvern Bone Appetit,Olwdd Eli O Troublemaker, Male, 2009 
Aberwyvern Llanelidon,Aelwyd Judge Emily Murphy,Cedarstone's Rolls Royce, Male, 1994 
Aberwyvern Llanfyllin,Aelwyd Judge Emily Murphy,Cedarstone's Rolls Royce, Female, 1994 
Aberwyvern Nigella Doesnt Bite,Cheysuli's Aberwyvern Bone Appetit,Olwdd Eli O Troublemaker, Female, 2009 
Aberwyvern Patches CAN CD,Finnshavn's Bawyni Midnite Toker,Finnshavn's Bill Mckie, Female, 1985 
Aberwyvern Remembrance,Aberwyvern Cleo Laine,Bluetrix Son of Spuddie Wind, Female, 2005 
Aberwyvern Silver Seraph,Bluetrix Billie Holiday Blues,Aberwyvern Llanelidon, Female, 1999 
Aberwyvern Silver Spur,Bluetrix Billie Holiday Blues,Aberwyvern Llanelidon, Male, 1999 
Aberwyvern Sings The Blues,Bluetrix Billie Holiday Blues,Aberwyvern Llanelidon, Female, 1999 
Aberwyvern Wagner CD,Finnshavn's Bawyni Midnite Toker,Finnshavn's Bill Mckie, Male, 1985 
Aberystwyth,Tivy Floss,Toggy, Male, 
Aberystwyth Cadnoclun Thoroughly Modern Millie,Cadnoclun Aberdovey Lily Of The Valley,Aberdovey Harlem Globe Trotter, Female, 2013 
Aberystwyth's Nifty of Cledyn,Caergrawnt Echo Of Llanfair CD,Swansea Cricket Beau, Male, 1972 
