name, dam, sire, sex, year
Arawn Eigar C. D.,,, Male, 
Arawn-Phil von Welterod,Welshclan's Dilwyn Dacey,Carddicted Earl Grey, Male, 2014 
Arbennig Airdrie Bark at the Moon,Rememberance El Camino At Dune,Kingsbury's I'm Harry P ROMg, Male, 2012 
Arbennig Airdrie Eddie Haskell,Rememberance El Camino At Dune,Beaszak's Fogy Botm Uncle Fester RN BN CGC, Male, 2013 
Arbennig Bennie's Little Daisy,Arbennig Concert in the Park,Arbennig Shoot the Storm, Female, 2018 
Arbennig Bustin' Out All Over,Rememberance El Camino At Dune,Beaszak's Fogy Botm Uncle Fester RN BN CGC, Female, 2013 
Arbennig Concert in the Park,Rememberance El Camino At Dune,Kingsbury's I'm Harry P ROMg, Female, 2012 
Arbennig Dance in the Park,Arbennig Concert in the Park,Badagri Break Dance, Female, 2015 
Arbennig Dark Riddle,Arbennig Hello Kitty,Kino's Quarry Tiger Eye at Redbud, Male, 2018 
Arbennig Happy Kitty Sleepy Kitty,Arbennig Soft Kitty Warm Kitty,Twinroc Santa Paws PT ROMg, Female, 2014 
Arbennig Hello Kitty,Arbennig Soft Kitty Warm Kitty,Twinroc Santa Paws PT ROMg, Female, 2014 
Arbennig Hey There Tiger,Arbennig Hello Kitty,Kino's Quarry Tiger Eye at Redbud, Male, 2018 
Arbennig Shoot the Storm,Arbennig Happy Kitty Sleepy Kitty,Kino's Quarry Tiger Eye at Redbud, Male, 2017 
Arbennig Soft Kitty Warm Kitty,Rememberance El Camino At Dune,Kingsbury's I'm Harry P ROMg, Female, 2012 
Arbennig Sturdy Stilletos,Arbennig Hello Kitty,Kino's Quarry Tiger Eye at Redbud, Female, 2018 
Arbennig The Tangerine Factor,Arbennig Happy Kitty Sleepy Kitty,Kino's Quarry Tiger Eye at Redbud, Male, 2017 
Arcalime Luna of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Female, 2017 
Arcelia El Corgi Amoroso,April de Tichelaar corgi,Verdidas Gillis To Immes, Female, 2012 
Archie,Hillsborough Romance Anew,Halo's Shadow Weaver, Male, 1994 
Archie Shuffles,Sisterwood Holly Berry Blue,Spectrum Harlem Shuffle ROMs, Male, 2001 
Archimedes Tailorscardi,Beautiful Dream Kasmir Moravia,Hashfan Villfred, Male, 2017 
Arctic Aeryn from The Small Hill Rebels,Bonnie from the Stone of Scone,Blåtirans Gandalf The Gray, Female, 2013 
Arcturus' Pennyroyal,Kidwelly's Peppermint Patty,Rhydowen Penny Chip ROMs, Female, 2005 
Arcy Zabawna Controversia,Uchachana Uchatka Controversia,Faarup Kawasaki, Female, 2012 
Ard Greimme Shining Sirius,Fest Delicja,Damian Corlan Gi, Male, 2010 
Arddun Beatrice Bleu Des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, , 2005 
Arddun Belle Ballade Bleu Des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Female, 2005 
Arddun Belle-Dame Mam des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Female, 2005 
Arddun Belle-de-Nuit Bleuet d'Ange,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Female, 2005 
Arddun Berger Bleu Des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Male, 2005 
Arddun Bijou Bleu Des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Female, 2005 
Arddun Boh�me Avec Bravos Des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Male, 2005 
Arddun Brise Bleu des Anges,Mosegården's Dust on a Blue Sky,Gowerston Challenger, Female, 2005 
Arddun Cafe Avec Cognac,Kilvroch Cara,Johann vom B�kerhook, Male, 2012 
Arddun Coco de la Cara,Kilvroch Cara,Johann vom B�kerhook, Female, 2012 
Arddun Comet du Ciel,Kilvroch Cara,Johann vom B�kerhook, Male, 2012 
Arddun Comme Ci Comme Ca,Kilvroch Cara,Johann vom B�kerhook, Male, 2012 
Arddun Copain Celleri,Kilvroch Cara,Johann vom B�kerhook, Male, 2012 
Arddun Copine Carrot,Kilvroch Cara,Johann vom B�kerhook, Female, 2012 
Arddun Creme du Caviar,Kilvroch Cara,Johann vom B�kerhook, Male, 2012 
Arddun Crouton du Caeur,Kilvroch Cara,Johann vom B�kerhook, Male, 2012 
Arddun Darwin Deluxe,Blåtirans Gry Gomorron,Clovertrails I Walk The Line, Male, 2017 
Arddun Deva de la Demi-Lune,Blåtirans Gry Gomorron,Clovertrails I Walk The Line, Female, 2017 
Arddun Dirch Le grand Danois,Blåtirans Gry Gomorron,Clovertrails I Walk The Line, Male, 2017 
Arddun Drop of Dawn,Blåtirans Gry Gomorron,Clovertrails I Walk The Line, Female, 2017 
Arddun Duchesse de Dots douce,Blåtirans Gry Gomorron,Clovertrails I Walk The Line, Female, 2017 
Arddun La Dame de Pique devine,Blåtirans Gry Gomorron,Clovertrails I Walk The Line, Female, 2017 
Arden Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Male, 2011 
Aregola D Arte,,, , 
Aregola D'Arte,Uszaki Lets Dance,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Female, 2018 
Arella di Castel Martini,Beckrow Barsheba,Rozavel Blue Scene, , 1975 
Arena Z Ticheho Udoli,Tifatina-Lisiura Controversia,Andre Corlan Gi, Female, 
Arend v. Wikatro,Vivian of the Green Beret,Lees Blackberry, Male, 
Ares,Verdidas Aberdeen,Deavitte Oakleaf, Male, 1997 
Ares Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Male, 2011 
Ares CC Armageddon IT,Buckaroo's Funny Bunny,Pooh's Mac CC God of War, Male, 2009 
Ares CC The Sport Of War,Buckaroo's Funny Bunny,Pooh's Mac CC God of War, Male, 2009 
Ares CC The Sport Of War,,, , 
Ar�s Od Modr�ho Joh�nka,Born To Be Happy In Czech Republic Gaucho,Andre Corlan Gi, Female, 2009 
Ares Velikiy Voin,Dafné Gyvates Asara,Brynlluan The Sorcerer, Male, 2018 
Ares z Irexu,Brawos Bis Dzierlatka Lisiura,Geestland's Solo Song, Male, 2009 
Arglwydd,Llys-y-Drindod,Gwron, Male, 
Arglwydd Brodryk ap Cadnawes,Coedwig's Pecanvalley Legal Eagle,Gatewyns Art of Styles, Male, 2002 
Argo Od Modr�ho Joh�nka,Born To Be Happy In Czech Republic Gaucho,Andre Corlan Gi, Male, 2009 
Argo v.d. Matten,Daisy v. Voerder L�ndchen,Jezalin Top Jester, Male, 1985 
Argo vom Findlingsbrunnen,Jezalin Miss Mink,Jezalin Maestro, Male, 1979 
Argos,Verdidas Aberdeen,Deavitte Oakleaf, Male, 1997 
Argos,Hashfan Parvoline Plaz,Greg's Boy of Robgwen, Male, 1986 
Ari vom Forster Nei�eland,Fest Gina Prima Aprilis,Johann vom B�kerhook, Female, 2009 
Arian,Welshclan's Jaunty Jessica,Flanagen Em v.d. Bockm�hle, , 2005 
Arian Byw,Mari Pantyderi,Hannaford Mischief, Female, 1949 
Arian Farms Anwen,Arian Farms Elowyn,Chaos's Jack of Hearts RN HSAs, Female, 2010 
Arian Farms Bella Notte,Pecan Valley Princess,Pecan Valley Panda, Female, 2003 
Arian Farms Bree,Arian Farms Anwen,Davenitch Jacob's Ladder, Female, 2014 
Arian Farms Dewi Vaughn,Arian Farms Elowyn,Chaos's Jack of Hearts RN HSAs, Male, 2010 
Arian Farms Elowyn,Pecan Valley Princess,Pecan Valley Panda, Female, 2003 
Arian Farms Emma Lynn,Pecan Valley Princess,Pecan Valley Panda, Female, 2003 
ARIAN Lisie Pysie,Welshclan's Jaunty Jessica,Flanagen Em v.d. Bockm�hle, Female, 2005 
Ariancledd Cellwair,Swansea Fianuala,Llanfair's Smoky The Bear UD, Male, 1972 
Ariancledd Gordon,Swansea Fianuala,Llanfair's Smoky The Bear UD, Male, 1972 
Ariancledd Gwynedd Of Kimo,Swansea Fianuala,Llanfair's Smoky The Bear UD, Female, 1972 
Ariancledd Mermaid Of Bethan,,, Female, 1971 
Arianrhod Lucky Veles,Dakota Corlan Gi,Yardican Cardiridge Noki Niilo, Female, 2006 
Ariblue di Castel Martini,Beckrow Barsheba,Rozavel Blue Scene, , 1975 
Ariel,Imago's One Pretty Finn,Imago's Xmas Party, Female, 2010 
Ariel,Spotlight,Geestland's Vulpine Villain, Female, 2013 
Arien of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Female, 2017 
Arik aus dem Feenring,Audrey from the Stone of Scone,Gowerston Graduate, Male, 2012 
Aristotle,Tasakin Doris Day,Mackinlay's Lefi, Male, 1995 
Arktur Yarkaya Zvezda,Dafné Gyvates Asara,Brynlluan The Sorcerer, Male, 2018 
Arlas Of Bronant,Farlsdale's Blue Gem de Noel,Ner Ddu, Male, 
Arlwyddes,Llys-y-Drindod,Gwron, Female, 
Arman,Angels of Wales Beauty,Dom Elfov Ratebor, Male, 2017 
Arnarmo of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Male, 2017 
Arne,Godthaablunds E. Freja,Corgihuset Gismo, Male, 2016 
Arne Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Female, 2011 
Arnica Montana Alice In Wonderland,Arnica Montana Mayfair,Lulubelle's Intelligent Inspector, Female, 2017 
Arnica Montana Brentford,Haapatassun Aamun Suukko,Imago's King Of Spades, Male, 2016 
Arnica Montana Camille,Haapatassun Aamun Suukko,Mythmakers Wilhelm Tell, Female, 2017 
Arnica Montana Chelsea,Haapatassun Aamun Suukko,Imago's King Of Spades, Female, 2016 
Arnica Montana Chloe,Haapatassun Aamun Suukko,Mythmakers Wilhelm Tell, Female, 2017 
Arnica Montana Dumbo,Arnica Montana Mayfair,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana Ginger,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Female, 2017 
Arnica Montana Hazel,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Female, 2017 
Arnica Montana Imogen,Haapatassun Aamun Suukko,Mythmakers Wilhelm Tell, Female, 2017 
Arnica Montana Kensington,Haapatassun Aamun Suukko,Imago's King Of Spades, Male, 2016 
Arnica Montana King Arthur,Arnica Montana Mayfair,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana Little Red Ridinghood,Arnica Montana Mayfair,Lulubelle's Intelligent Inspector, Female, 2017 
Arnica Montana Lucinda,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Female, 2017 
Arnica Montana Mayfair,Haapatassun Aamun Suukko,Imago's King Of Spades, Female, 2016 
Arnica Montana Milton,Haapatassun Aamun Suukko,Mythmakers Wilhelm Tell, Male, 2017 
Arnica Montana Paddington,Haapatassun Aamun Suukko,Imago's King Of Spades, Male, 2016 
Arnica Montana Piccadilly,Haapatassun Aamun Suukko,Imago's King Of Spades, Male, 2016 
Arnica Montana Prince Charming,Arnica Montana Mayfair,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana Robin Hood,Arnica Montana Mayfair,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana Rupert,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana Stella,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Female, 2017 
Arnica Montana Wellington,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana William,Arnica Montana Chelsea,Lulubelle's Intelligent Inspector, Male, 2017 
Arnica Montana Windsor,Haapatassun Aamun Suukko,Imago's King Of Spades, Male, 2016 
Arnica Montana Winston,Haapatassun Aamun Suukko,Mythmakers Wilhelm Tell, Male, 2017 
Arnica Montana Zoe,Haapatassun Aamun Suukko,Mythmakers Wilhelm Tell, Female, 2017 
Arno aus dem Feenring,Audrey from the Stone of Scone,Gowerston Graduate, Male, 2012 
Arnold,Bunny,Sankt-Cardis Bram, Male, 1981 
Arnoldo El Corgi Amoroso,April de Tichelaar corgi,Verdidas Gillis To Immes, Male, 2012 
Arnostale of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Female, 2017 
Arnwen All About Me,Damlen Hot Strawberry,Ringinglow Fine N Dandy (Imp UK), Male, 
Arnwye Beau Bruno,Westavon Gala Girl,Leycaswa Pavo, Male, 
Arnwye Damien,Arnwye Gold Lace,Arnwye Merich, Male, 
Arnwye Gold Lace,Westavon Gala Girl,Leycaswa Pavo, Female, 
Arnwye Honey,Westavon Gala Girl,Tallia The Greatest, Female, 
Arnwye Merich,Westavon Gala Girl,Kentwood Fronwen, Male, 
Arnwye Russell,Westavon Gala Girl,Arnwye Merich, Male, 
Aron Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Male, 2011 
Aron Od Modr�ho Joh�nka,Born To Be Happy In Czech Republic Gaucho,Andre Corlan Gi, Male, 2009 
ARON Rajska Kraina (FCI),KURKUMA z Domu Polanki (FCI),EL DORADO Gaucho, Male, 2017 
Aros Beauty,Tir Jenkins Pride,Clemox Carioca, Female, 
Arragorn's Southern Belle,Aragorn's Enchanted Crystal,Aragorn Gwindor Of Dreahook AM CD, Female, 1991 
Arrawn's Last Dance RA HSAs,Dobcarr's C'Est Si Bon PT,Ravynwood's Arrawn's Ap Pwca PT, Female, 2002 
Arrow,Tasakin Doris Day,Mackinlay's Lefi, Male, 1995 
Arrow aimed at my heart,Newcard's Rose Rhapsody,Urodzinowy Upominek Controversia, Male, 2014 
Arrowood Blackbird,Ringinglow Starling at Arrowood,Gwenlais Caleb at Salroyd, Female, 1987 
Arrowood Blackcap,Ringinglow Starling at Arrowood,Gwenlais Caleb at Salroyd, Male, 1987 
Arrowood Elfor Leather,Ringinglow Starling at Arrowood,Gwenlais Caleb at Salroyd, Male, 1989 
Arrowood Heaven Sent,Ringinglow Starling at Arrowood,Gwenlais Caleb at Salroyd, Female, 1989 
Arrowood Kestral,Ringinglow Starling at Arrowood,Gwenlais Caleb at Salroyd, Male, 1987 
Arrowood Midnight Melody,Ringinglow Starling at Arrowood,Wendac Legend, Female, 1984 
Arrowood Wagtail,Ringinglow Starling at Arrowood,Gwenlais Caleb at Salroyd, Male, 1987 
Art &amp; Doris' Mini Sequoia,Aurigan Mantle Cleopatra,Claymore's Shere Khan, Male, 2005 
Artans Carla Coral,Imago's Daylight,Beckrow Barleycorn, Female, 1992 
Artans Clair Voyant,Imago's Daylight,Beckrow Barleycorn, Female, 1992 
Artans Colon Dorian,Imago's Daylight,Beckrow Barleycorn, Female, 1992 
Artans Comic Chaos,Imago's Daylight,Beckrow Barleycorn, Male, 1992 
Artans Como Sheva,Imago's Daylight,Beckrow Barleycorn, Male, 1992 
Artans Cosma Shiva,Imago's Daylight,Beckrow Barleycorn, Male, 1992 
Artans Cosmic Comet,Imago's Daylight,Beckrow Barleycorn, Male, 1992 
Arte Ammie of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Female, 2017 
Artemida Lunnaya Noch,Dafné Gyvates Asara,Brynlluan The Sorcerer, Female, 2018 
Artemis,Verdidas Aberdeen,Deavitte Oakleaf, Female, 1997 
Artemis,Claudia Cardi,Sirax Copperfield, Male, 1979 
Artful Dodger Of Carey,Lucky Lace Of Carey,Just One for Luck of Carey, Male, 
Arth Yr Brymore,Kentwood Eirowyn,Parmel Bryn, Male, 1963 
Arthemus de la Cite des Grands Feux,Souci des Mousquetaires de l'Arms' Park,Bethwyn Beau Brummell, Male, 
Arthen Fach Yr Ail,Welsh Maid,Marchog Pennant, Female, 
Arthenarwel,Puksipuun Arizona Trial,Big-Wood's Queshi Quardian, Male, 2001 
Arthur,Yardican IFly ROMG ROMV-G,Davenitch Archangel Michael, Male, 2009 
Arthur,Chandler's Pluperfect Pounce,Kennebec Ice Anchor ROMg, Male, 1993 
Arthur,Great Magic's Everlasting of Love,Blondie's Dusk To Dawn, Male, 2010 
Arthur vom Forster Nei�eland,Fest Gina Prima Aprilis,Johann vom B�kerhook, Male, 2009 
Arthur vom Holledauer Bockerl,Ophelia zur Emsf�hre,Rubad-Harrow Brython, Male, 2009 
Artie from the stone of scone,Indigo Girl Indira v. d. Bockm�hle,Ken zur Emsf�hre, Male, 2008 
Artorius,Vistruphus Cassie,Strandengen's Herkules, Male, 2015 
Arttu,Imago's One Pretty Finn,Imago's Xmas Party, Male, 2010 
Art� di Castel Martini,Beckrow Barsheba,Rozavel Blue Scene, , 1975 
Artu� Lucky Veles,Dakota Corlan Gi,Yardican Cardiridge Noki Niilo, Male, 2006 
Arvid aus dem Feenring,Audrey from the Stone of Scone,Gowerston Graduate, Male, 2012 
Arwen,All Trade Chorizo,All Trade Fire Engine, Female, 2003 
Arwen of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Female, 2017 
Arwen vom Forstwinkel,Aster vom Holledauer Bockerl,Ethan from the Wonderful Oz, Female, 2011 
Arwr,Gwenllian,Tyddynwr, Male, 1935 
Arylan Aelwyd Front Page News,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Female, 2005 
Arylan Aint Misbehavin,Arylan Flower Belle,Arylan World Traveler, Male, 2017 
Arylan Annie Get Your Gun,Arylan Flower Belle,Arylan World Traveler, Female, 2017 
Arylan Blue Nautilus,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Male, 2010 
Arylan Calling An Audible,Eklectic Arylan Secret Alibi,Pecan Valley Passage To Juneau, Male, 2009 
Arylan Chickie's Darlin' Dylan,Eklectic Arylan Chiquita Banana,Arylan Custom Goldwing, Male, 2012 
Arylan Cruisin Flyby,Arylan Papa Was A Rolling Stone,Arylan Silver Service, Male, 2014 
Arylan Custom Goldwing,Arylan Flying Start,Arylan Mint Proof, Male, 2010 
Arylan Daily Double,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Female, 2006 
Arylan Daring Debut,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Female, 2005 
Arylan Diamond Lil,Arylan Papa Was A Rolling Stone,Arylan Silver Service, Female, 
Arylan Double Encore,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Female, 2006 
Arylan Double Whammy,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Female, 2006 
Arylan First Edition RN AM CD TD,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Male, 2005 
Arylan Flight From Justice BN RN,Arylan Flying Start,Mariels Flying Spirit RN, Female, 2009 
Arylan Flower Belle,Arylan Papa Was A Rolling Stone,Arylan Silver Service, Female, 2013 
Arylan Flying Start,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Female, 2005 
Arylan Flying the Colors at Solstice,Eklectic Arylan Chiquita Banana,Arylan Tribute to Liberty, Female, 2009 
Arylan Fruity Pebbles,Eklectic Arylan Chiquita Banana,Arylan Custom Goldwing, Female, 2012 
Arylan Gilded Lily,Eklectic Arylan Chiquita Banana,Arylan Tribute to Liberty, Female, 2009 
Arylan Great Expectations,Arylan Papa Was A Rolling Stone,Northstar's All Jazzed Up, Male, 2016 
Arylan Instant Replay,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Male, 2006 
Arylan Mint Proof,Eklectic Arylan Chiquita Banana,Arylan Tribute to Liberty, Male, 2009 
Arylan Northstar Blu Puff A Smoke,Arylan Papa Was A Rolling Stone,Arylan Silver Service, Female, 2014 
Arylan Opus One of Allegro,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Male, 2005 
Arylan Papa Was A Rolling Stone,Rhys Sweet Adeline,Arylan Mint Proof, Female, 2011 
Arylan Papa's In The Pokey,Rhys Sweet Adeline,Arylan Mint Proof, Female, 2011 
Arylan Ruby Mountain Serenity,Rhys Sweet Adeline,Arylan Mint Proof, Male, 2011 
Arylan Secret Liaison,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Female, 2010 
Arylan Silver Service,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Male, 2010 
Arylan Sir Walter Riley,Rhys Sweet Adeline,Paradiddle Warrior Poet Of Blackduck, Male, 2008 
Arylan Solstice Misty Mtn Mandolin,Aelwyd Arylan I Walk the Line,Mariels Flying Spirit RN, Female, 2009 
Arylan Special Envoy to Aragorn,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Female, 2010 
Arylan Strike Up The Band,Paradiddle Coedwig's Encore,Paradiddle's Chain Reaction, Male, 2005 
Arylan Tribute to Liberty,Rhys Sweet Adeline,Paradiddle Warrior Poet Of Blackduck, Male, 2008 
Arylan Winston Mannion,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Male, 2010 
Arylan World Traveler,Liveoak Wisteria,Arylan Custom Goldwing, Male, 2013 
Arylan's Fenian Warrior,Arylan Double Whammy,Raglan Oliver Of Arylan PT, Male, 2008 
Arylan's Leila Mini Gau Mui,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Female, 2010 
Arylan's No Question,Eklectic Arylan Chiquita Banana,Northstar's All Jazzed Up, Male, 2010 
Arylans Great Expectations,Arylan Papa Was A Rolling Stone,Northstar's All Jazzed Up, Male, 2016 
Arylans Sense And Sensibility,Arylan Papa Was A Rolling Stone,Northstar's All Jazzed Up, Female, 2016 
Ascha zur Haskenau,Bianka-Rozavel zur Coerm�hle,Lees Blackberry, Female, 1979 
asd,,, , 
Asfan,Hashfan Parvoline Plaz,Greg's Boy of Robgwen, Male, 1986 
Ash,Dilwel Sue Sue,Joseter Mudwin, Male, 1975 
Ashleeves Shadrack,,, Male, 
Ashton v.d.Bockmuhle,Floatin' Pollyanna,Indiana Jones Earl v.d Griffelhof, Female, 1996 
Ask,Verdidas Aberdeen,Deavitte Oakleaf, Male, 1997 
Ask for Aron from The Small Hill Rebels,Bonnie from the Stone of Scone,Blåtirans Gandalf The Gray, Male, 2013 
Aska Beautiful Joy of Life,Charista Corlan Gi,Joy Transfer Hogarth Blue Horizon, Female, 2015 
ASKLEPIOS Gratia Superis,Uszaki Dodzilla DUR IR,Uszaki Falkor Luck Dragon, Male, 2013 
Asoka Bambi,Asoka Rozavel Rhiannon,Wendac Robgwen Midnight Special, Female, 
Asoka Blue Branwen,Robgwen Blue Charm of Asoka,Asoka Morgan, Female, 1976 
Asoka Brock,Asoka Rozavel Rhiannon,Wendac Robgwen Midnight Special, Male, 1972 
Asoka Morgan,Asoka Bambi,Asoka Brock, Male, 1973 
Asoka Rozavel Rhiannon,Rozavel Pandora,Rozavel Blue Glynt, Female, 
Asoka Silver Spoon of Daleviz,Asoka Blue Branwen,Daleviz Nestor, Male, 1979 
Aspen's Cadillac Diva,Tracers Racetta Clasy-Bluelace,Coedwig's Vestavia Luminescence CDX RAE PT OA OAJ OAP OJP ROMg, Female, 1999 
Aspen's Patch Adams CD RE PT,Tracers Racetta Clasy-Bluelace,Coedwig's Vestavia Luminescence CDX RAE PT OA OAJ OAP OJP ROMg, Male, 1999 
Aspin Skii Of Coedwig CD,Dorre Don's Saula Shalamon CDX,Dorre Don's Incorrigible AM CD, Male, 1977 
Asseline,Athena,Hova Bonde's Ace Ventura, Female, 2012 
Assi,Tasakin Camilla,Tasakin Dumbo, Female, 1994 
Asta,Mandylay's Beauty Lola,Cardax Naylor, Female, 1990 
Astarte,Hashfan Parvoline Plaz,Greg's Boy of Robgwen, Male, 1986 
Aster vom Holledauer Bockerl,Ophelia zur Emsf�hre,Rubad-Harrow Brython, Female, 2009 
Asterix,Quantum's Caisa,Smultronbackens Arnallt, Male, 1993 
ASTERIX Zlote Psiaki FCI,CYRANKA Virgo Vestalis,Cool Adventure z Domu Polanki (FCI), Male, 2016 
Astersland Black Pearl,Trafox Rebel Queen,All Trade Gone Fishing, Female, 2016 
Astersland Black Rebel,Trafox Rebel Queen,All Trade Gone Fishing, Male, 2016 
Astersland Blue Heaven,Trafox Rebel Queen,All Trade Gone Fishing, Female, 2016 
Astersland Blue Rhapsody,Trafox Rebel Queen,All Trade Gone Fishing, Female, 2014 
Astersland Blue Romance,Trafox Rebel Queen,All Trade Gone Fishing, Female, 2016 
Astersland Blue Storm Rising,Trafox Rebel Queen,All Trade Gone Fishing, Male, 2016 
Astersland Blue Water Sailor,Trafox Rebel Queen,All Trade Gone Fishing, Male, 2014 
Astersland Butterfly Effect,Astersland Unique Promises,Waggerland On The Spot, Female, 2017 
Astersland Dark Winddancer,Trafox Rebel Queen,Guns 'n Roses Cymraeg Ci, Female, 2012 
Astersland Fleur-de-Lis,Astersland Raindrops On Roses,Windwinner's A Night At The Opera, Female, 2016 
Astersland Fly Me To The Moon,Trafox Rebel Queen,Guns 'n Roses Cymraeg Ci, Female, 2012 
Astersland Get Groovy,Astersland Blue Romance,Coedwig's Chris Team Dream, Male, 2018 
Astersland Get It On,Astersland Blue Romance,Coedwig's Chris Team Dream, Female, 2018 
Astersland Get Lucky,Astersland Blue Romance,Coedwig's Chris Team Dream, Female, 2018 
Astersland Get Me Wings,Astersland Blue Romance,Coedwig's Chris Team Dream, Female, 2018 
Astersland Get Over It,Astersland Blue Romance,Coedwig's Chris Team Dream, Female, 2018 
Astersland Get Ready,Astersland Blue Romance,Coedwig's Chris Team Dream, Male, 2018 
Astersland Get Sirius,Astersland Blue Romance,Coedwig's Chris Team Dream, Male, 2018 
Astersland Getting Serious,Astersland Blue Romance,Coedwig's Chris Team Dream, Male, 2018 
Astersland Glorious Pearl,Astersland Unique Promises,Waggerland On The Spot, Female, 2017 
Astersland Glorious Promise,Astersland Unique Promises,Waggerland On The Spot, Female, 2017 
Astersland Glorious Spot,Astersland Unique Promises,Waggerland On The Spot, Male, 2017 
Astersland Go Your Own Way,Trafox Rebel Queen,All Trade Gone Fishing, Female, 2014 
Astersland Jazzy After Dusk,Astersland Unique Promises,Coedwig's Chris Team Dream, Male, 2018 
Astersland Jazzy Black Pearl,Astersland Unique Promises,Coedwig's Chris Team Dream, Female, 2018 
Astersland Jazzy Jewel,Astersland Unique Promises,Coedwig's Chris Team Dream, Female, 2018 
Astersland Jazzy Maksherri,Astersland Unique Promises,Coedwig's Chris Team Dream, Male, 2018 
Astersland Jazzy Spark,Astersland Unique Promises,Coedwig's Chris Team Dream, Female, 2018 
Astersland Jazzy Touch,Astersland Unique Promises,Coedwig's Chris Team Dream, Female, 2018 
Astersland Jazzy Zucchini,Astersland Unique Promises,Coedwig's Chris Team Dream, Male, 2018 
Astersland Keep Promises,Trafox Rebel Queen,All Trade Hotdog, Male, 2015 
Astersland King Olaf The White,Astersland Raindrops On Roses,Windwinner's A Night At The Opera, Male, 2016 
Astersland Kiraly Matthias Corvinus,Astersland Raindrops On Roses,Windwinner's A Night At The Opera, Male, 2016 
Astersland Little Milady Sunshine,Astersland Raindrops On Roses,Windwinner's A Night At The Opera, Female, 2016 
Astersland Moonlight Madness,Trafox Rebel Queen,Guns 'n Roses Cymraeg Ci, Female, 2012 
Astersland Never Promising Anything,Trafox Rebel Queen,All Trade Hotdog, Female, 2015 
Astersland No Promises,Trafox Rebel Queen,All Trade Hotdog, , 2015 
Astersland Once In A Blue Moon,Trafox Rebel Queen,All Trade Gone Fishing, Female, 2014 
Astersland One Way Ticket,Trafox Rebel Queen,All Trade Gone Fishing, Male, 2014 
Astersland Prince Mio,Astersland Raindrops On Roses,Windwinner's A Night At The Opera, Male, 2016 
Astersland Pure Promises,Trafox Rebel Queen,All Trade Hotdog, Female, 2015 
Astersland Queen Lilian,Astersland Raindrops On Roses,Windwinner's A Night At The Opera, Female, 2016 
Astersland Raindrops On Roses,Trafox Rebel Queen,Guns 'n Roses Cymraeg Ci, Female, 2012 
Astersland Ride Like The Wind,Trafox Rebel Queen,Guns 'n Roses Cymraeg Ci, Male, 2012 
Astersland Serious Moonlight,Trafox Rebel Queen,Guns 'n Roses Cymraeg Ci, Male, 2012 
